Statistical profiling result from nobloq.log, (2768 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  v8::internal::Accessors::FunctionLengthGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      1    0.0%    0.1%  v8::V8::GlobalizeReference(v8::internal::Isolate*, unsigned long*)
      1    0.0%    0.1%  v8::Object::Get(v8::Local<v8::Context>, unsigned int)
      1    0.0%    0.1%  v8::Isolate::InContext()
      1    0.0%    0.1%  v8::HandleScope::HandleScope(v8::Isolate*)
      1    0.0%    0.1%  v8::Context::GetNumberOfEmbedderDataFields()
      1    0.0%    0.1%  v8::Context::Exit()
      1    0.0%    0.1%  v8::Context::Enter()
      1    0.0%    0.1%  uv_run
      1    0.0%    0.1%  u_strToUTF8WithSub_67
      1    0.0%    0.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      1    0.0%    0.1%  pthread_cond_signal@@GLIBC_2.3.2
      1    0.0%    0.1%  operator new(unsigned long)@@GLIBCXX_3.4
      1    0.0%    0.1%  operator delete(void*, unsigned long)@@CXXABI_1.3.9
      1    0.0%    0.1%  node::loader::ModuleWrap::Instantiate(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.1%  node::loader::ModuleWrap::Evaluate(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.1%  node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.1%  node::crypto::CryptoJob::AfterThreadPoolWork(int)
      1    0.0%    0.1%  node::InternalCallbackScope::~InternalCallbackScope()
      1    0.0%    0.1%  node::InternalCallbackScope::Close()
      1    0.0%    0.1%  node::AsyncWrap::EmitTraceEventBefore()
      1    0.0%    0.1%  icu_67::UnicodeSet::hasStrings() const
      1    0.0%    0.1%  epoll_ctl@@GLIBC_2.3.2
      1    0.0%    0.1%  __vsnprintf_chk@@GLIBC_2.3.4
      1    0.0%    0.1%  __tls_get_addr@@GLIBC_2.3
      1    0.0%    0.1%  __munmap@@GLIBC_PRIVATE
      1    0.0%    0.1%  __clock_gettime@@GLIBC_PRIVATE
      1    0.0%    0.1%  _IO_file_xsputn@@GLIBC_2.2.5
      1    0.0%    0.1%  _IO_file_sync@@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
      8    0.3%    0.5%  JavaScript
   1448   52.3%   99.5%  C++
     82    3.0%    5.6%  GC
   1312   47.4%          Shared libraries

 [C++ entry points]:
   ticks    cpp   total   name
    797   77.8%   28.8%  v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
     83    8.1%    3.0%  node::loader::ModuleWrap::Evaluate(v8::FunctionCallbackInfo<v8::Value> const&)
     29    2.8%    1.0%  node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     23    2.2%    0.8%  __write@@GLIBC_2.2.5
      9    0.9%    0.3%  v8::internal::Builtin_DateConstructor(int, unsigned long*, v8::internal::Isolate*)
      8    0.8%    0.3%  v8::internal::Builtin_JsonParse(int, unsigned long*, v8::internal::Isolate*)
      7    0.7%    0.3%  v8::internal::Builtin_GlobalEval(int, unsigned long*, v8::internal::Isolate*)
      6    0.6%    0.2%  fwrite@@GLIBC_2.2.5
      5    0.5%    0.2%  __mprotect@@GLIBC_PRIVATE
      5    0.5%    0.2%  __libc_malloc@@GLIBC_2.2.5
      4    0.4%    0.1%  v8::internal::Builtin_ReflectDefineProperty(int, unsigned long*, v8::internal::Isolate*)
      4    0.4%    0.1%  v8::internal::Builtin_ErrorCaptureStackTrace(int, unsigned long*, v8::internal::Isolate*)
      4    0.4%    0.1%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
      3    0.3%    0.1%  v8::internal::Builtin_ArrayBufferConstructor(int, unsigned long*, v8::internal::Isolate*)
      3    0.3%    0.1%  node::loader::ModuleWrap::Link(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.1%  v8::internal::Builtin_ObjectDefineProperty(int, unsigned long*, v8::internal::Isolate*)
      2    0.2%    0.1%  v8::internal::Accessors::FunctionPrototypeGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      1    0.1%    0.0%  v8::internal::VariableMap::Lookup(v8::internal::AstRawString const*)
      1    0.1%    0.0%  v8::internal::SequentialStringKey<unsigned char>::IsMatch(v8::internal::String)
