Statistical profiling result from nobloq.log, (2768 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%            LazyCompile: ~7207 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:82918
      1   12.5%        LazyCompile: ~8681 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:36545
      1  100.0%          LazyCompile: ~__webpack_require__ /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:92803
      1  100.0%            LazyCompile: ~7551 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:75730
      1   12.5%        LazyCompile: ~7207 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:82918
      1  100.0%          LazyCompile: ~__webpack_require__ /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:92803
      1  100.0%            Eval: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:2
      1   12.5%        LazyCompile: ~7104 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:3189
      1  100.0%          LazyCompile: ~__webpack_require__ /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:92803
      1  100.0%            LazyCompile: ~3610 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:2498
      1   12.5%        LazyCompile: ~4936 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:74608
      1  100.0%          LazyCompile: ~__webpack_require__ /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:92803
      1  100.0%            LazyCompile: ~5370 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:72392
      1   12.5%        LazyCompile: ~2982 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:63282
      1  100.0%          LazyCompile: ~__webpack_require__ /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:92803
      1  100.0%            LazyCompile: ~8681 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:36545
      8    1.9%      LazyCompile: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:59:71
      7   87.5%        LazyCompile: ~wrap.ondone internal/crypto/pbkdf2.js:35:17
      1   12.5%        LazyCompile: *wrap.ondone internal/crypto/pbkdf2.js:35:17
      7    1.6%      LazyCompile: ~writeHead _http_server.js:243:19
      7  100.0%        LazyCompile: ~writeHead /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/on-headers/index.js:28:29
      7  100.0%          LazyCompile: ~_implicitHeader _http_server.js:238:68
      7  100.0%            LazyCompile: ~write_ _http_outgoing.js:639:16
      7    1.6%      LazyCompile: ~parseCJS internal/deps/cjs-module-lexer/lexer.js:40:19
      7  100.0%        LazyCompile: ~cjsPreparseModuleExports internal/modules/esm/translators.js:210:34
      7  100.0%          LazyCompile: ~commonjsStrategy internal/modules/esm/translators.js:167:60
      7  100.0%            LazyCompile: ~ModuleJob internal/modules/esm/module_job.js:30:14
      6    1.4%      LazyCompile: *next /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:176:16
      5   83.3%        LazyCompile: ~logger /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/morgan/index.js:103:26
      5  100.0%          LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
      5  100.0%            LazyCompile: ~trim_prefix /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:288:23
      1   16.7%        LazyCompile: ~jsonParser /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/body-parser/lib/types/json.js:98:30
      1  100.0%          LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            LazyCompile: ~trim_prefix /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:288:23
      5    1.2%      LazyCompile: ~setHeader _http_outgoing.js:528:57
      3   60.0%        LazyCompile: ~applyHeaders /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/cors/lib/index.js:144:24
      3  100.0%          LazyCompile: ~applyHeaders /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/cors/lib/index.js:144:24
      3  100.0%            LazyCompile: ~applyHeaders /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/cors/lib/index.js:144:24
      1   20.0%        LazyCompile: ~header /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:754:29
      1  100.0%          LazyCompile: ~send /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:107:25
      1  100.0%            LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      1   20.0%        LazyCompile: ~expressInit /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/middleware/init.js:29:30
      1  100.0%          LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            LazyCompile: ~trim_prefix /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:288:23
      5    1.2%      LazyCompile: ~jsonParser /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/body-parser/lib/types/json.js:98:30
      5  100.0%        LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
      5  100.0%          LazyCompile: ~trim_prefix /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:288:23
      5  100.0%            LazyCompile: ~<anonymous> /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:275:64
      5    1.2%      LazyCompile: ~ReadableState _stream_readable.js:88:23
      5  100.0%        LazyCompile: ~Readable _stream_readable.js:170:18
      5  100.0%          LazyCompile: ~IncomingMessage _http_incoming.js:41:25
      5  100.0%            LazyCompile: ~parserOnHeadersComplete _http_common.js:77:33
    348   29.1%    v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
    312   89.7%      LazyCompile: ~inspectorWaitForDebugger inspector.js:144:34
    312  100.0%        LazyCompile: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:84546
    312  100.0%          LazyCompile: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:83871
    312  100.0%            LazyCompile: ~7207 /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:82918
     16    4.6%      LazyCompile: ~toString buffer.js:773:46
     16  100.0%        LazyCompile: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:59:71
     11   68.8%          LazyCompile: *wrap.ondone internal/crypto/pbkdf2.js:35:17
      5   31.3%          LazyCompile: ~wrap.ondone internal/crypto/pbkdf2.js:35:17
      4    1.1%      LazyCompile: ~send /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:107:25
      4  100.0%        LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      4  100.0%          LazyCompile: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:59:71
      3   75.0%            LazyCompile: ~wrap.ondone internal/crypto/pbkdf2.js:35:17
      1   25.0%            LazyCompile: *wrap.ondone internal/crypto/pbkdf2.js:35:17

    849   30.7%  epoll_pwait@@GLIBC_2.6

    101    3.6%  node::SyncProcessRunner::Spawn(v8::FunctionCallbackInfo<v8::Value> const&)
    101  100.0%    v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
    101  100.0%      LazyCompile: ~spawnSync internal/child_process.js:1026:19
    101  100.0%        LazyCompile: ~spawnSync child_process.js:570:19
    101  100.0%          LazyCompile: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:84546
    101  100.0%            LazyCompile: ~<anonymous> /home/diego/.config/Code/User/workspaceStorage/68562e4f0aeb27dcaec26d33efed13dc/ms-vscode.js-debug/bootloader.js:2:83871

     77    2.8%  node::native_module::NativeModuleEnv::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     76   98.7%    v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
     76  100.0%      LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
     69   90.8%        LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:297:29
      6    8.7%          Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      4    5.8%          Eval: ~<anonymous> internal/modules/esm/loader.js:1:1
      4  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      3    4.3%          LazyCompile: ~setupBuffer internal/bootstrap/node.js:330:21
      3  100.0%            Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      3    4.3%          Eval: ~<anonymous> tls.js:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      3    4.3%          Eval: ~<anonymous> internal/source_map/source_map_cache.js:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      3    4.3%          Eval: ~<anonymous> internal/child_process.js:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      3    4.3%          Eval: ~<anonymous> https.js:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      3    4.3%          Eval: ~<anonymous> crypto.js:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      2    2.9%          LazyCompile: ~setupPrepareStackTrace internal/bootstrap/node.js:252:32
      2  100.0%            Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      2    2.9%          LazyCompile: ~readFile fs.js:298:18
      2  100.0%            LazyCompile: ~<anonymous> internal/util.js:296:24
      2    2.9%          LazyCompile: ~initCJSParse internal/modules/esm/translators.js:61:28
      2  100.0%            LazyCompile: ~commonjsStrategy internal/modules/esm/translators.js:167:60
      2    2.9%          Eval: ~<anonymous> stream.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      2    2.9%          Eval: ~<anonymous> internal/worker.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      2    2.9%          Eval: ~<anonymous> internal/modules/cjs/loader.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      2    2.9%          Eval: ~<anonymous> fs.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      2    2.9%          Eval: ~<anonymous> events.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          LazyCompile: ~setupProcessObject internal/bootstrap/node.js:271:28
      1  100.0%            Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      1    1.4%          LazyCompile: ~lazyLoadStreams fs.js:1910:25
      1  100.0%            LazyCompile: ~get ReadStream fs.js:2015:17
      1    1.4%          LazyCompile: ~initializeCJSLoader internal/bootstrap/pre_execution.js:404:29
      1  100.0%            LazyCompile: ~prepareMainThreadExecution internal/bootstrap/pre_execution.js:17:36
      1    1.4%          LazyCompile: ~get fs.js:2070:8
      1  100.0%            /usr/lib/x86_64-linux-gnu/libnode.so.72
      1    1.4%          LazyCompile: ~createGlobalConsole internal/bootstrap/node.js:347:29
      1  100.0%            Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      1    1.4%          Eval: ~<anonymous> worker_threads.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> tty.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> timers.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> net.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> module.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> internal/process/task_queues.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> internal/process/esm_loader.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> internal/modules/cjs/helpers.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> internal/fs/promises.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> internal/crypto/keygen.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> internal/console/global.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> internal/cluster/round_robin_handle.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> internal/cluster/master.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> internal/bootstrap/pre_execution.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> cluster.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> buffer.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> _tls_wrap.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> _stream_readable.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> _http_server.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1    1.4%          Eval: ~<anonymous> _http_common.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      7    9.2%        LazyCompile: ~compileForPublicLoader internal/bootstrap/loaders.js:213:25
      7  100.0%          LazyCompile: ~loadNativeModule internal/modules/cjs/helpers.js:22:26
      7  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:648:24
      1    1.3%    /usr/lib/x86_64-linux-gnu/libnode.so.72
      1  100.0%      LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27
      1  100.0%        LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:297:29
      1  100.0%          Eval: ~<anonymous> tty.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:264:27

     77    2.8%  node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     70   90.9%    v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
     70  100.0%      LazyCompile: ~wrapSafe internal/modules/cjs/loader.js:899:18
     70  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
     70  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1008:37
     70  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:851:33
      7    9.1%    /usr/lib/x86_64-linux-gnu/libnode.so.72
      7  100.0%      LazyCompile: ~wrapSafe internal/modules/cjs/loader.js:899:18
      7  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
      7  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1008:37
      7  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:851:33

     76    2.7%  node::crypto::PBKDF2(v8::FunctionCallbackInfo<v8::Value> const&)
     76  100.0%    v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
     72   94.7%      LazyCompile: ~pbkdf2Sync internal/crypto/pbkdf2.js:45:20
     72  100.0%        LazyCompile: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:21:21
     72  100.0%          LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
     72  100.0%            LazyCompile: ~next /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/route.js:114:16
      4    5.3%      LazyCompile: ~pbkdf2 internal/crypto/pbkdf2.js:19:16
      4  100.0%        LazyCompile: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:53:25
      3   75.0%          LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
      3  100.0%            LazyCompile: ~next /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/route.js:114:16
      1   25.0%          RegExp: (\[[^[\]]*])
      1  100.0%            LazyCompile: ~next /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/route.js:114:16

     65    2.3%  void node::StreamBase::JSMethod<&node::StreamBase::Writev>(v8::FunctionCallbackInfo<v8::Value> const&)
     65  100.0%    v8::internal::Builtin_HandleApiCall(int, unsigned long*, v8::internal::Isolate*)
     65  100.0%      LazyCompile: ~writevGeneric internal/stream_base_commons.js:118:23
     65  100.0%        LazyCompile: ~Socket._writeGeneric net.js:762:42
     65  100.0%          LazyCompile: ~Socket._writev net.js:794:36
     65  100.0%            LazyCompile: ~doWrite _stream_writable.js:393:17

     65    2.3%  /usr/lib/x86_64-linux-gnu/libc.so.6
     18   27.7%    /usr/lib/x86_64-linux-gnu/libnode.so.72
      3   16.7%      /usr/lib/x86_64-linux-gnu/libnode.so.72
      1   33.3%        node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%          LazyCompile: ~wrapSafe internal/modules/cjs/loader.js:899:18
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
      1   33.3%        LazyCompile: ~lookup /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/mime/mime.js:102:19
      1  100.0%          LazyCompile: ~header /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:754:29
      1  100.0%            LazyCompile: ~contentType /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:594:32
      1   33.3%        LazyCompile: ~contentType /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:594:32
      1  100.0%          LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      1  100.0%            LazyCompile: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:59:71
      2   11.1%      LazyCompile: ~recordStartTime /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/morgan/index.js:527:26
      2  100.0%        LazyCompile: ~logger /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/morgan/index.js:103:26
      2  100.0%          LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
      2  100.0%            LazyCompile: ~trim_prefix /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:288:23
      1    5.6%      LazyCompile: ~setHeader _http_outgoing.js:528:57
      1  100.0%        LazyCompile: ~header /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:754:29
      1  100.0%          LazyCompile: ~contentType /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:594:32
      1  100.0%            LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      1    5.6%      LazyCompile: ~setCharset /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/utils.js:250:41
      1  100.0%        LazyCompile: ~send /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:107:25
      1  100.0%          LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      1  100.0%            LazyCompile: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:21:21
      1    5.6%      LazyCompile: ~send /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:107:25
      1  100.0%        LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      1  100.0%          LazyCompile: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:59:71
      1  100.0%            LazyCompile: *wrap.ondone internal/crypto/pbkdf2.js:35:17
      1    5.6%      LazyCompile: ~parseSource internal/deps/cjs-module-lexer/lexer.js:85:22
      1  100.0%        LazyCompile: ~parseCJS internal/deps/cjs-module-lexer/lexer.js:40:19
      1  100.0%          LazyCompile: ~cjsPreparseModuleExports internal/modules/esm/translators.js:210:34
      1  100.0%            LazyCompile: ~cjsPreparseModuleExports internal/modules/esm/translators.js:210:34
      1    5.6%      LazyCompile: ~parseCJS internal/deps/cjs-module-lexer/lexer.js:40:19
      1  100.0%        LazyCompile: ~cjsPreparseModuleExports internal/modules/esm/translators.js:210:34
      1  100.0%          LazyCompile: ~commonjsStrategy internal/modules/esm/translators.js:167:60
      1  100.0%            LazyCompile: ~ModuleJob internal/modules/esm/module_job.js:30:14
      1    5.6%      LazyCompile: ~parse /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/content-type/index.js:106:16
      1  100.0%        LazyCompile: ~setCharset /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/utils.js:250:41
      1  100.0%          LazyCompile: ~send /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:107:25
      1  100.0%            LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      1    5.6%      LazyCompile: ~moduleStrategy internal/modules/esm/translators.js:124:56
      1  100.0%        /usr/lib/x86_64-linux-gnu/libnode.so.72
      1    5.6%      LazyCompile: ~module.exports /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/qs/lib/parse.js:222:27
      1  100.0%        LazyCompile: ~parseExtendedQueryString /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/utils.js:291:34
      1  100.0%          LazyCompile: ~query /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/middleware/query.js:39:24
      1  100.0%            LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
      1    5.6%      LazyCompile: ~logger /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/morgan/index.js:103:26
      1  100.0%        LazyCompile: ~handle /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/layer.js:86:49
      1  100.0%          LazyCompile: ~trim_prefix /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:288:23
      1  100.0%            LazyCompile: ~<anonymous> /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/router/index.js:275:64
      1    5.6%      LazyCompile: ~isignored /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/morgan/node_modules/depd/index.js:153:20
      1  100.0%        LazyCompile: ~depd /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/morgan/node_modules/depd/index.js:103:15
      1  100.0%          Eval: ~<anonymous> /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/morgan/index.js:1:1
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:953:37
      1    5.6%      LazyCompile: ~contentType /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:594:32
      1  100.0%        LazyCompile: ~sendStatus /home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/node_modules/express/lib/response.js:353:37
      1  100.0%          LazyCompile: ~<anonymous> file:///home/diego/Documents/Work/coderhouse/clases/06-11-2021/profiler/server.js:59:71
      1  100.0%            LazyCompile: ~wrap.ondone internal/crypto/pbkdf2.js:35:17
      1    5.6%      LazyCompile: ~cjsPreparseModuleExports internal/modules/esm/translators.js:210:34
      1  100.0%        LazyCompile: ~cjsPreparseModuleExports internal/modules/esm/translators.js:210:34
      1  100.0%          LazyCompile: ~commonjsStrategy internal/modules/esm/translators.js:167:60
      1  100.0%            LazyCompile: ~ModuleJob internal/modules/esm/module_job.js:30:14
      1    5.6%      LazyCompile: ~Socket._final net.js:404:35
      1  100.0%        LazyCompile: ~callFinal _stream_writable.js:608:19
      1  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:69:35

     48    1.7%  /usr/lib/x86_64-linux-gnu/libuv.so.1.0.0

     42    1.5%  __write@@GLIBC_2.2.5
     23   54.8%    /usr/lib/x86_64-linux-gnu/libnode.so.72
      8   34.8%      /usr/lib/x86_64-linux-gnu/libnode.so.72
